,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
435,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,138,138.0,138
436,2.25,1.692568750643269,-9.217477707299562,2.4150721133541104,1.3313019788553797,4.310660171779821,150,195.22222222222223,253
437,14.0,4.222008245644752,-13.186295493715324,5.932007682414257,3.034463466454591,13.82842712474619,139,172.85714285714286,205
438,1.75,1.4927053303604616,-8.34962510252249,2.077687352839368,0.9527355665501869,3.603553390593274,140,179.14285714285714,224
439,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,150,182.0,214
440,4.5,2.393653682408596,23.886209185155334,5.3653743472641,1.7257433796731672,8.621320343559642,138,145.77777777777777,165
441,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,142,142.0,142
442,28.5,6.023896332520351,-0.34248031919291855,8.858375604112693,4.566202307097099,24.692388155425117,138,196.6315789473684,247
443,5.0,2.5231325220201604,-12.124606540523976,3.035593943463016,2.084506994569856,7.121320343559642,138,199.95,254
444,12.25,3.949327084834294,73.62373437764612,5.492585190330129,4.11726540812208,16.84619407771256,140,179.24489795918367,233
445,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,147,162.0,179
446,6.5,2.876813695875796,66.46500843897634,4.017455256737965,2.240494716288784,9.553300858899107,148,202.0,255
447,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,138,138.0,138
448,139.0,13.303394180365686,77.02028943324117,21.22597102754129,10.558881174124288,98.42640687119285,137,189.36870503597123,255
449,1.75,1.4927053303604616,-56.599315494703966,2.398351345700823,0.8823395420545368,3.603553390593274,146,173.85714285714286,193
450,0.75,0.9772050238058398,-45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,137,152.66666666666666,170
451,9.25,3.431831258788849,-36.353210088145424,5.4352079210130855,2.4637187409116668,12.363961030678926,137,217.51351351351352,255
452,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,146,155.5,165
453,1.25,1.2615662610100802,71.5650767661759,1.5491933384829666,0.8944271909999159,2.603553390593274,146,211.4,255
454,0.75,0.9772050238058398,45.00001609038752,1.1547005383792517,0.6666666666666666,1.7071067811865475,148,171.66666666666666,197
455,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,145,145.0,145
456,68.25,9.321941800299703,-71.85401288997384,13.229602654786522,7.886592829958316,50.57716446627535,137,217.04029304029305,255
457,15.75,4.478115991081385,-41.01878228943664,5.414804055280975,4.511861452607835,16.985281374238568,138,208.93650793650792,253
458,6.0,2.763953195770684,2.9734325901793177,3.0825433337499635,2.4800613648318133,7.82842712474619,156,224.875,255
459,1.25,1.2615662610100802,31.71748575249332,2.046669094406771,0.7817580303394193,2.7071067811865475,140,156.2,175
460,2.75,1.8712051592547776,-37.874997193835185,2.4863262420322445,1.3726971700492274,5.017766952966369,143,177.63636363636363,207
461,2.5,1.7841241161527712,90.00003218077504,2.04939015319192,1.4966629547095767,4.414213562373095,137,209.3,255
462,4.25,2.326213245840639,-25.70218555336935,4.482728141220094,2.1569778061454636,7.810660171779821,139,160.7058823529412,220
463,3.75,2.1850968611841584,53.79383560634882,4.710252097105004,1.5549821948055762,6.310660171779822,137,149.8,161
464,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,184,184.0,184
465,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,138,138.0,138
466,19.25,4.950743503369154,73.61389925953684,5.424203332673461,4.863269105865459,18.588834764831844,137,189.75324675324674,252
467,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,139,140.0,141
468,128.0,12.766152972845846,-39.22172842003407,16.20895217145704,11.100029973016094,56.52386360737624,138,230.517578125,255
469,259.75,18.185817873963178,75.9855135516804,27.90570281140422,18.390475389914695,156.83504678941932,137,171.3387872954764,253
470,125.25,12.628271971179554,20.224639978941173,20.605339740846,8.728675265709105,72.63046532517446,137,204.90818363273453,255
471,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,140,148.5,157
472,44.5,7.527227892173502,-62.25083060001776,11.739125183805383,5.683019856982584,33.02386360737625,137,224.12921348314606,255
473,2.25,1.692568750643269,18.43495541459913,2.4944382578492945,1.1331154474650633,4.121320343559643,143,168.44444444444446,199
474,1.75,1.4927053303604616,59.527323334368766,1.7910350477088346,1.2356728270175856,3.103553390593274,159,213.85714285714286,255
475,7.5,3.0901936161855166,-38.354762764986724,4.859534938930841,2.0172666213852044,10.363961030678928,141,182.86666666666667,219
476,35.0,6.6755811781245455,-34.57062510795317,10.775702584177933,5.082016025020526,33.15990257669732,137,218.2642857142857,255
477,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,137,137.0,137
478,4.75,2.4592453796829674,30.35432976812464,2.8363136140521936,2.217952660092134,7.242640687119286,137,205.42105263157896,255
479,164.5,14.472315126092793,-54.08023378723659,26.449471032683682,11.685120316724635,132.0685424949238,137,165.9498480243161,255
480,182.0,15.222667215103916,-70.22598675176245,20.22126836535339,13.178857519895711,100.53300858899107,137,212.01098901098902,255
481,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,138,138.0,138
482,2.75,1.8712051592547776,89.51176298830674,3.5537226033159715,0.9954347640227155,5.5,138,182.45454545454547,237
483,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,139,139.0,139
484,0.75,0.9772050238058398,90.00003218077504,1.632993161855452,0.0,0.5,150,175.66666666666666,226
485,3.25,2.0342144725641096,0.0,2.6017745423519636,1.5384615384615385,5.414213562373095,140,208.3846153846154,255
486,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,197,197.0,197
487,1.0,1.1283791670955126,50.30984562706919,2.0999648984000814,0.5832215920964662,1.7071067811865475,137,138.5,143
488,2.75,1.8712051592547776,-16.683188965838216,2.8987515219063424,1.3824938339907793,4.32842712474619,138,153.0,168
489,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,155,155.0,155
490,6.0,2.763953195770684,40.57379473912415,4.28554953137368,1.8880203308487942,8.535533905932738,140,208.16666666666666,255
491,1.0,1.1283791670955126,-71.5650767661759,1.7320508075688772,0.7071067811865476,1.6035533905932737,138,139.75,141
492,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,153,171.0,189
