Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,2556,57.0473511772727,70.3520042483621,158.790593739954,111.589921741893,1770.77077811098,[0 0 0],[100.09174491  70.83274648  66.61003521],[255 255 255]
2,,21.75,5.26241010355424,-82.1074715491778,7.60280357463832,4.10542713819119,19.3639610306789,[112  77  82],[229.03448276 209.3908046  204.49425287],[255 251 249]
3,,34.25,6.60366976818037,-84.5002836526971,9.03006007160481,5.80248580057097,26.6066017177982,[102  86  85],[218.19708029 205.06569343 202.91970803],[255 255 246]
4,,118.5,12.2832766821853,-83.8566878820821,20.6460313611229,8.51393998552371,55.0918830920368,[70 52 45],[241.72362869 224.71940928 218.01898734],[255 255 248]
5,,45.25,7.5903945483266,-82.9919229183662,10.534827408673,6.06456570661366,29.0208152801713,[163 113 107],[247.74585635 238.25966851 229.91712707],[255 255 252]
6,,171.5,14.7770288597566,-86.8937802958737,19.629051122186,11.488891403747,54.0416305603426,[134  77  73],[239.74198251 225.70699708 216.60641399],[255 255 247]
7,,109.75,11.821084554079,77.2977799166051,13.901382744942,10.953005154256,48.1274169979695,[98 61 47],[235.14806378 220.73120729 205.23006834],[255 255 244]
8,,21.75,5.26241010355424,20.034668526585,6.94049156113325,4.32254316041538,17.9497474683058,[168 131 119],[223.73563218 209.20689655 194.33333333],[255 241 227]
9,,161.75,14.3508360857796,42.2992771115297,18.6013838492745,11.5717990423712,55.4055915910215,[35  0  0],[236.29057187 223.10510046 213.64914992],[255 255 250]
10,,65.25,9.11476166961975,-80.9507715645846,14.1456690683322,6.20430279643671,35.1421356237309,[149 112 108],[244.04980843 224.89655172 218.92720307],[255 254 252]
11,,36.75,6.84043516664088,66.9825176353592,10.485199560039,5.5337503682974,30.5918830920368,[89 36 39],[236.03401361 224.34013605 219.40816327],[255 255 252]
12,,44,7.48482063701911,-61.261215388136,10.1072283232962,5.99024729763925,28.9883297014435,[30 32 26],[222.72159091 212.86931818 204.91477273],[255 255 249]
